epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,981.609,0.55017,0.41371,0.89131,0.71441,0.75711,0.74301,0.61005,0.78265,1.02029,1.08067,0.000445756,0.000445756,0.000445756
76,994.614,0.53996,0.41005,0.88294,0.74082,0.76749,0.75763,0.62924,0.74828,0.96309,1.03941,0.000429253,0.000429253,0.000429253
77,1007.67,0.5552,0.42332,0.88564,0.71332,0.74344,0.74354,0.61235,0.74361,1.10972,1.03579,0.000412749,0.000412749,0.000412749
78,1020.72,0.54299,0.4065,0.88548,0.7486,0.70938,0.7472,0.61569,0.76182,1.12487,1.044,0.000396246,0.000396246,0.000396246
79,1033.75,0.52402,0.39456,0.87729,0.69204,0.74958,0.73245,0.60516,0.75841,1.10022,1.03219,0.000379743,0.000379743,0.000379743
80,1046.8,0.51794,0.39651,0.87478,0.79511,0.64254,0.70931,0.5878,0.76133,1.13951,1.03993,0.000363239,0.000363239,0.000363239
81,1059.85,0.53146,0.39072,0.87933,0.72257,0.7453,0.75262,0.61682,0.7522,1.01717,1.05538,0.000346736,0.000346736,0.000346736
82,1072.88,0.51874,0.39032,0.87798,0.74062,0.77815,0.76332,0.62723,0.75915,1.01828,1.05987,0.000330233,0.000330233,0.000330233
83,1085.92,0.52822,0.39108,0.88733,0.77912,0.67145,0.72128,0.59121,0.75779,1.15778,1.05878,0.000313729,0.000313729,0.000313729
84,1098.98,0.51141,0.38331,0.87113,0.76365,0.72415,0.74228,0.61008,0.75231,1.11284,1.06238,0.000297226,0.000297226,0.000297226
85,1112.01,0.50446,0.38297,0.87291,0.7841,0.69757,0.74963,0.61958,0.74934,1.09643,1.05569,0.000280723,0.000280723,0.000280723
86,1125.06,0.48147,0.36855,0.86882,0.71765,0.76821,0.76062,0.62786,0.75635,1.01094,1.05527,0.00026422,0.00026422,0.00026422
87,1138.14,0.49512,0.37588,0.87053,0.71785,0.77282,0.74732,0.61959,0.73226,1.05263,1.04239,0.000247716,0.000247716,0.000247716
88,1151.16,0.50717,0.37534,0.87161,0.71861,0.76039,0.75335,0.62749,0.72538,1.06389,1.03049,0.000231213,0.000231213,0.000231213
